level	step	message
PASS	python_dependency_check	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/python_dependency_check.log child_run_dir=N/A seconds=0
PASS	static_python_syntax_check	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/static_python_syntax_check.log child_run_dir=N/A seconds=0
PASS	p7_ops_snapshot	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/p7_ops_snapshot.log child_run_dir=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p7_ops_snapshot_20260609_020821 seconds=20
PASS	start_base_services	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/start_base_services.log child_run_dir=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/start_base_services_20260609_020841 seconds=43
PASS	reclaim_memory_before_feature_builder	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/reclaim_memory_before_feature_builder.log child_run_dir=N/A seconds=16
PASS	p10_warehouse_feature_builder	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/p10_warehouse_feature_builder.log child_run_dir=N/A seconds=71
PASS	p10_feature_parity_status	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/p10_feature_parity_status.log child_run_dir=N/A seconds=0
PASS	p10_warehouse_feature_quality	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/p10_warehouse_feature_quality.log child_run_dir=N/A seconds=1
PASS	p10_feature_quality_status	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/p10_feature_quality_status.log child_run_dir=N/A seconds=0
PASS	reclaim_memory_before_model	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/reclaim_memory_before_model.log child_run_dir=N/A seconds=12
PASS	p10_warehouse_model_baseline	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/p10_warehouse_model_baseline.log child_run_dir=N/A seconds=107
PASS	p10_model_output_status	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/p10_model_output_status.log child_run_dir=N/A seconds=0
PASS	hive_p9_window_dashboard_sql	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/hive_p9_window_dashboard_sql.log child_run_dir=N/A seconds=45
PASS	hive_p9_sensor_dashboard_sql	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/hive_p9_sensor_dashboard_sql.log child_run_dir=N/A seconds=20
PASS	ensure_realtime_services_ready	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/ensure_realtime_services_ready.log child_run_dir=N/A seconds=121
PASS	p6_realtime_demo_with_p11_risk	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/p6_realtime_demo_with_p11_risk.log child_run_dir=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p6_realtime_demo_20260609_021557 seconds=426
PASS	p12_trino_doris_query_layer	rc=0 log=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/p12_trino_doris_query_layer.log child_run_dir=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p12_query_layer_validation_20260609_022304 seconds=365
PASS	p14_validation_report	report=/home/common/tmp/pycharm_Design/data/metropt_quality/validation_runs/p14_master_validation_20260609_020821/validation_report.md
